Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Reg1       SOP5                  5400mil       2700mil       5400mil       2700mil   5451.575mil   2737.402mil  B        180.00 ADP122         
U4         BMA253                5800mil       2300mil       5800mil       2300mil   5770.472mil   2270.472mil  B        360.00 BMA253         
DEC        PRSP0016DH-B_N        2545mil       1865mil       2545mil       1865mil   2678.858mil       2040mil  B        180.00 Decoder        
R1         Rowres                1795mil       2450mil       1795mil       2450mil       1745mil       2425mil  B        360.00 Rowresistor    
R2         Rowres                6150mil       2025mil       6150mil       2025mil       6100mil       2000mil  B        360.00 Rowresistor    
U1         PRSP0016DH-B_N        2100mil       2300mil       2100mil       2300mil   1966.142mil       2125mil  B        360.00 HD74HC595FP    
U2         PRSP0016DH-B_N        5825mil       1775mil       5825mil       1775mil   5958.858mil       1950mil  B        180.00 HD74HC595FP    
TRAN       LW18_N                2100mil       1790mil       2100mil       1790mil   2279.134mil       1990mil  B        180.00 Darlington NPN 
LED1_Col1  0805_A                1860mil       2800mil       1860mil       2800mil       1860mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col2  0805_A                2060mil       2800mil       2060mil       2800mil       2060mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col3  0805_A                2260mil       2800mil       2260mil       2800mil       2260mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col4  0805_A                2460mil       2800mil       2460mil       2800mil       2460mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col5  0805_A                2660mil       2800mil       2660mil       2800mil       2660mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col6  0805_A                2860mil       2800mil       2860mil       2800mil       2860mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col7  0805_A                3060mil       2800mil       3060mil       2800mil       3060mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col8  0805_A                3260mil       2800mil       3260mil       2800mil       3260mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col9  0805_A                4740mil       2800mil       4740mil       2800mil       4740mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col10 0805_A                4940mil       2800mil       4940mil       2800mil       4940mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col11 0805_A                5140mil       2800mil       5140mil       2800mil       5140mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col12 0805_A                5340mil       2800mil       5340mil       2800mil       5340mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col13 0805_A                5540mil       2800mil       5540mil       2800mil       5540mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col14 0805_A                5740mil       2800mil       5740mil       2800mil       5740mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col15 0805_A                5940mil       2800mil       5940mil       2800mil       5940mil   2841.339mil  T        270.00 150080GS75000  
LED1_Col16 0805_A                6140mil       2800mil       6140mil       2800mil       6140mil   2841.339mil  T        270.00 150080GS75000  
LED2_Col1  0805_A                1860mil       2600mil       1860mil       2600mil       1860mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col2  0805_A                2060mil       2600mil       2060mil       2600mil       2060mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col3  0805_A                2260mil       2600mil       2260mil       2600mil       2260mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col4  0805_A                2460mil       2600mil       2460mil       2600mil       2460mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col5  0805_A                2660mil       2600mil       2660mil       2600mil       2660mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col6  0805_A                2860mil       2600mil       2860mil       2600mil       2860mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col7  0805_A                3060mil       2600mil       3060mil       2600mil       3060mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col8  0805_A                3260mil       2600mil       3260mil       2600mil       3260mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col9  0805_A                4740mil       2600mil       4740mil       2600mil       4740mil   2641.339mil  T        270.00 150080GS75000  
LED2_Col10 0805_A                4940mil       2600mil       4940mil       2600mil       4940mil   2641.339mil  T        270.00 150080GS75000  
